Company,Actions,Industry,Links,Product/Service Category,Business Type,Employees count,Revenue,Year Founded,BBB Rating,Street,City,State,Company Phone,Company Email,Source,Created Date,Updated
Jacobs-Hernandez,New,"Clinical scientist, histocompatibility and immunogenetics",https://atkinson-schultz.com,Software,B2B2C,1039,$1937M,2018,C,9903 Oneill Track Suite 718,East Gina,MT,646.436.5830,jonathonlopez@example.org,LinkedIn,2025-05-29,2025-06-14
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-29,2024-01-17
Cohen-Blevins,New,Information Technology,https://johnson.net,Hardware,B2B,3923,$242M,2001,A,590 Johnson Mountain,New Adamberg,TX,(573)309-9785x994,mli@example.com,CrunchBase,2024-01-23,2024-04-18
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-08-14,2024-02-07
"Kaufman, Hughes and Kim",Unqualified,Fine artist,https://martinez-davis.com,Hardware,B2B,375,$996M,1992,A,35295 Patricia Bypass Suite 488,East Sarah,KY,001-276-987-6800x63308,yhansen@example.org,Growjo,2023-07-13,2025-04-17
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-02,2024-03-25
Mcbride Group,Unqualified,Information Technology,https://zavala.com,Investment Banking,B2B,615,$751M,2003,NR,307 Matthew Vista Suite 703,Harrisborough,AL,001-847-444-6331x813,kenneth58@example.net,CrunchBase,2025-05-21,2025-06-19
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-10-25,2024-04-16
"Cantu, Ramos and Jenkins",Qualified,Information Technology,https://garcia.info,Consulting,B2B2C,771,$3861M,1996,A,06757 Flowers Shoals Apt. 517,North Matthew,NJ,2959897600,jennifer20@example.net,Apollo,2024-12-24,2025-02-02
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-26,2023-11-06
"Reed, James and Jackson",Qualified,Information Technology,https://larson.com,Hardware,B2B,3713,$2419M,1989,C,0860 Santana River,New Courtneyburgh,AL,4445718929,staceyburgess@example.net,Apollo,2025-03-11,2025-05-04
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-10-21,2023-12-09
Oliver Inc,Contacted,Information Technology,https://taylor.com,Services,B2B2C,4558,$2521M,1989,A,6184 Debbie Bypass Apt. 497,Margaretview,HI,2543239238,nathanielcampbell@example.net,Growjo,2024-05-25,2025-03-09
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-01-05,2024-03-19
Phelps-Jones,Qualified,Ranger/warden,https://dawson.org,Hardware,B2B,3561,$1313M,2025,A,4534 Sandra Circles Suite 780,Port Colleen,MI,+1-591-261-9201x23506,josephlisa@example.net,LinkedIn,2025-06-23,2025-06-24
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-05,2024-03-20
Juarez Inc,Contacted,Stage manager,https://hill.biz,Services,B2B,2875,$310M,1986,C,085 Reed Ports,Leonardport,NY,807-347-2570x76247,theresa16@example.com,LinkedIn,2024-04-18,2025-06-18
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-04-27,2023-08-25
Freeman-Conley,New,Information Technology,https://mills.com,Investment Banking,B2B2C,2084,$3742M,1991,C,8548 Lisa Fort Suite 832,Martinezberg,AL,269.306.7645,dolsen@example.org,LinkedIn,2024-10-21,2024-12-26
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-02-20,2023-09-12
Jackson and Sons,Unqualified,Community arts worker,https://williams.biz,Hardware,B2B2C,1910,$4075M,1985,NR,41353 Jennifer Rest Suite 295,Franklinport,PA,266.531.6531x692,aaron14@example.com,Growjo,2024-10-14,2025-01-04
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-12-10,2023-08-13
"Baker, Morris and Wagner",Contacted,Information Technology,https://mosley.com,Software,B2B2C,1587,$914M,2003,C,37044 Lopez Field Suite 056,New Christinetown,MI,931.667.5112,chamberslydia@example.net,Apollo,2024-01-20,2025-01-14
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-07-28,2024-04-03
